dataset_id,Q_minus_M3_cells,JKQ_minus_M3_cells,signal_regime,speed_cells,jk_j90_cells,surface_clear,jkq_j90_cells,jkq_valid_fraction,subgrid_stable
a202_s4p0_reference_r04,-0.5193476171,-0.5193476171,reference,4.0000000000,0.0000000000,True,0.0571161925,1.0000000000,True
a202_s4p0_strong_r00,0.0000000000,0.0000000000,strong,4.0000000000,1.0000000000,False,0.5422314614,1.0000000000,False
a202_s4p0_strong_r01,-0.3644967472,-0.3644967472,strong,4.0000000000,0.4000000000,True,0.2797447980,0.8571428571,True
a202_s4p0_strong_r02,0.0000000000,0.0000000000,strong,4.0000000000,0.4000000000,True,0.6929266442,0.2857142857,False
a202_s4p0_strong_r03,0.0000000000,0.0000000000,strong,4.0000000000,1.0000000000,False,0.5375235426,0.5714285714,False
a202_s4p0_strong_r04,-0.6429215830,0.0000000000,strong,4.0000000000,1.0000000000,False,0.5074011187,0.7142857143,False
a202_s4p0_weak_r00,-0.3752886421,-0.3752886421,weak,4.0000000000,1.0000000000,False,0.3527080001,1.0000000000,True
a202_s4p0_weak_r01,-0.4607993911,-0.4607993911,weak,4.0000000000,1.0000000000,False,0.3542221744,1.0000000000,True
a202_s4p0_weak_r02,-0.0430232825,0.0000000000,weak,4.0000000000,1.0000000000,False,0.8500776778,0.7142857143,False
a202_s4p0_weak_r03,-0.2233170480,-0.2233170480,weak,4.0000000000,0.0000000000,True,0.3253722553,1.0000000000,True
a202_s4p0_weak_r04,-0.1449073369,0.0000000000,weak,4.0000000000,7.4000000000,False,7.3273720617,0.7142857143,False
a247_s0p75_reference_r00,0.0000000000,0.0000000000,reference,0.7500000000,1.0000000000,False,0.5814828828,0.8571428571,False
a247_s0p75_reference_r01,-0.2137752618,-0.2137752618,reference,0.7500000000,0.0000000000,True,0.0775967722,1.0000000000,True
a247_s0p75_reference_r02,-0.4797942374,-0.4797942374,reference,0.7500000000,1.0000000000,False,0.1091676895,1.0000000000,True
a247_s0p75_reference_r03,-0.2633638658,-0.2633638658,reference,0.7500000000,0.4000000000,True,0.1058818586,1.0000000000,True
a247_s0p75_reference_r04,-0.3210599042,-0.3210599042,reference,0.7500000000,0.0000000000,True,0.1143502874,1.0000000000,True
a247_s0p75_strong_r00,-0.3372847880,-0.3372847880,strong,0.7500000000,0.0000000000,True,0.0638586897,1.0000000000,True
a247_s0p75_strong_r01,-0.3399305127,-0.3399305127,strong,0.7500000000,0.0000000000,True,0.0788116268,1.0000000000,True
a247_s0p75_strong_r02,-0.4062156885,-0.4062156885,strong,0.7500000000,0.0000000000,True,0.0876940530,1.0000000000,True
a247_s0p75_strong_r03,0.0000000000,0.0000000000,strong,0.7500000000,1.0000000000,False,0.5244388195,0.5714285714,False
a247_s0p75_strong_r04,-0.3253139990,-0.3253139990,strong,0.7500000000,0.0000000000,True,0.0544533390,1.0000000000,True
a247_s0p75_weak_r00,-0.2421449474,-0.2421449474,weak,0.7500000000,1.0000000000,False,0.3062764916,1.0000000000,True
a247_s0p75_weak_r01,0.2679437811,0.0000000000,weak,0.7500000000,0.4000000000,True,0.5914596171,0.8571428571,False
a247_s0p75_weak_r02,-0.3199261339,0.0000000000,weak,0.7500000000,1.0000000000,False,0.6724855722,0.8571428571,False
a247_s0p75_weak_r03,0.0885155195,0.0885155195,weak,0.7500000000,0.0000000000,True,0.2768412248,1.0000000000,True
a247_s0p75_weak_r04,-0.2906853563,0.0000000000,weak,0.7500000000,20.0000000000,False,20.4122429771,0.5714285714,False
a247_s2p0_reference_r00,0.0316799248,0.0316799248,reference,2.0000000000,0.0000000000,True,0.0747013970,1.0000000000,True
a247_s2p0_reference_r01,-0.1738288453,-0.1738288453,reference,2.0000000000,0.0000000000,True,0.0753563012,1.0000000000,True
a247_s2p0_reference_r02,-0.0818498503,-0.0818498503,reference,2.0000000000,0.0000000000,True,0.0859244083,1.0000000000,True
a247_s2p0_reference_r03,0.1141378230,0.1141378230,reference,2.0000000000,0.0000000000,True,0.0965975235,1.0000000000,True
a247_s2p0_reference_r04,-0.3221417426,-0.3221417426,reference,2.0000000000,0.0000000000,True,0.1168122389,1.0000000000,True
a247_s2p0_strong_r00,-0.0991691698,-0.0991691698,strong,2.0000000000,0.0000000000,True,0.1017338345,1.0000000000,True
a247_s2p0_strong_r01,-0.2362683526,-0.2362683526,strong,2.0000000000,0.0000000000,True,0.0743060533,1.0000000000,True
a247_s2p0_strong_r02,-0.1976630289,-0.1976630289,strong,2.0000000000,0.0000000000,True,0.0733820520,1.0000000000,True
a247_s2p0_strong_r03,-0.1010068903,-0.1010068903,strong,2.0000000000,0.0000000000,True,0.0575038906,1.0000000000,True
a247_s2p0_strong_r04,-0.0759722476,-0.0759722476,strong,2.0000000000,0.0000000000,True,0.0710754252,1.0000000000,True
a247_s2p0_weak_r00,0.0625821773,0.0625821773,weak,2.0000000000,1.0000000000,False,0.4766756338,1.0000000000,True
a247_s2p0_weak_r01,0.2797124906,0.2797124906,weak,2.0000000000,0.4000000000,True,0.3871636224,1.0000000000,True
a247_s2p0_weak_r02,0.0000000000,0.0000000000,weak,2.0000000000,1.0000000000,False,0.6120837976,0.7142857143,False
a247_s2p0_weak_r03,-0.5855686423,0.0000000000,weak,2.0000000000,9.4000000000,False,8.9046022912,0.8571428571,False
a247_s2p0_weak_r04,-0.0309037976,-0.0309037976,weak,2.0000000000,0.0000000000,True,0.1931982607,1.0000000000,True
a247_s4p0_reference_r00,-0.5398279731,-0.5398279731,reference,4.0000000000,1.0000000000,False,0.1714665917,1.0000000000,True
a247_s4p0_reference_r01,-0.5739484569,-0.5739484569,reference,4.0000000000,1.0000000000,False,0.2660493538,0.8571428571,True
a247_s4p0_reference_r02,-0.2593737433,-0.2593737433,reference,4.0000000000,0.0000000000,True,0.2044100902,1.0000000000,True
a247_s4p0_reference_r03,-0.2812252401,-0.2812252401,reference,4.0000000000,0.0000000000,True,0.1373792497,1.0000000000,True
a247_s4p0_reference_r04,-0.3142337796,-0.3142337796,reference,4.0000000000,0.0000000000,True,0.1358395247,1.0000000000,True
a247_s4p0_strong_r00,-0.4879486747,-0.4879486747,strong,4.0000000000,0.4000000000,True,0.0716225018,1.0000000000,True
a247_s4p0_strong_r01,-0.4196128984,-0.4196128984,strong,4.0000000000,0.0000000000,True,0.0889191789,1.0000000000,True
a247_s4p0_strong_r02,-0.4422117028,0.0000000000,strong,4.0000000000,1.0000000000,False,0.5555649850,0.7142857143,False
a247_s4p0_strong_r03,0.0000000000,0.0000000000,strong,4.0000000000,1.0000000000,False,0.5467199096,1.0000000000,False
a247_s4p0_strong_r04,-0.3836632952,-0.3836632952,strong,4.0000000000,0.0000000000,True,0.0610298531,1.0000000000,True
a247_s4p0_weak_r00,-0.0825556683,-0.0825556683,weak,4.0000000000,0.0000000000,True,0.3283853853,1.0000000000,True
a247_s4p0_weak_r01,-0.3891659255,0.0000000000,weak,4.0000000000,1.0000000000,False,0.6288988869,0.8571428571,False
a247_s4p0_weak_r02,-0.3413285617,0.0000000000,weak,4.0000000000,1.0000000000,False,0.7685727387,0.7142857143,False
a247_s4p0_weak_r03,0.3858155953,0.0000000000,weak,4.0000000000,1.0000000000,False,0.5225749897,0.8571428571,False
a247_s4p0_weak_r04,-0.1082195927,0.0000000000,weak,4.0000000000,1.0000000000,False,0.7884783578,0.8571428571,False
a292_s0p75_reference_r00,-0.1875132710,-0.1875132710,reference,0.7500000000,0.0000000000,True,0.2329198620,0.8571428571,True
a292_s0p75_reference_r01,-0.2714522138,-0.2714522138,reference,0.7500000000,0.4000000000,True,0.3147521052,0.8571428571,True
a292_s0p75_reference_r02,-0.3069547607,-0.3069547607,reference,0.7500000000,1.0000000000,False,0.1356165823,1.0000000000,True
a292_s0p75_reference_r03,-0.3347062992,-0.3347062992,reference,0.7500000000,0.0000000000,True,0.1070496988,1.0000000000,True
a292_s0p75_reference_r04,-0.1954848194,-0.1954848194,reference,0.7500000000,0.0000000000,True,0.0897126283,1.0000000000,True
a292_s0p75_strong_r00,-0.3168920644,-0.3168920644,strong,0.7500000000,0.0000000000,True,0.0713248243,1.0000000000,True
a292_s0p75_strong_r01,-0.2418138097,-0.2418138097,strong,0.7500000000,0.0000000000,True,0.0593518658,1.0000000000,True
a292_s0p75_strong_r02,-0.2657695898,-0.2657695898,strong,0.7500000000,0.0000000000,True,0.0376549911,1.0000000000,True
a292_s0p75_strong_r03,-0.3110136061,-0.3110136061,strong,0.7500000000,0.0000000000,True,0.0547272326,1.0000000000,True
a292_s0p75_strong_r04,-0.2939337955,-0.2939337955,strong,0.7500000000,0.0000000000,True,0.0598079457,1.0000000000,True
a292_s0p75_weak_r00,-0.1962617891,-0.1962617891,weak,0.7500000000,0.4000000000,True,0.3892633916,0.8571428571,True
a292_s0p75_weak_r01,0.2276573118,0.2276573118,weak,0.7500000000,0.0000000000,True,0.3442537462,1.0000000000,True
a292_s0p75_weak_r02,-0.1012969155,-0.1012969155,weak,0.7500000000,0.4000000000,True,0.4307146347,1.0000000000,True
a292_s0p75_weak_r03,0.3657388064,0.3657388064,weak,0.7500000000,1.0000000000,False,0.3387796700,1.0000000000,True
a292_s0p75_weak_r04,-0.2315087950,-0.2315087950,weak,0.7500000000,1.0000000000,False,0.3862925924,1.0000000000,True
a292_s2p0_reference_r00,-0.0624245253,-0.0624245253,reference,2.0000000000,0.0000000000,True,0.0909103726,1.0000000000,True
a292_s2p0_reference_r01,0.0000000000,0.0000000000,reference,2.0000000000,1.0000000000,False,0.6002359248,0.7142857143,False
a292_s2p0_reference_r02,-0.0498936460,-0.0498936460,reference,2.0000000000,0.0000000000,True,0.1160235595,1.0000000000,True
a292_s2p0_reference_r03,-0.1174008637,-0.1174008637,reference,2.0000000000,0.0000000000,True,0.1048998894,1.0000000000,True
a292_s2p0_reference_r04,-0.2386186581,-0.2386186581,reference,2.0000000000,0.0000000000,True,0.1183206498,1.0000000000,True
a292_s2p0_strong_r00,-0.0917886593,-0.0917886593,strong,2.0000000000,0.0000000000,True,0.0620951111,1.0000000000,True
a292_s2p0_strong_r01,-0.2210460769,-0.2210460769,strong,2.0000000000,0.0000000000,True,0.0552284071,1.0000000000,True
a292_s2p0_strong_r02,-0.2089604339,-0.2089604339,strong,2.0000000000,0.0000000000,True,0.0572185248,1.0000000000,True
a292_s2p0_strong_r03,-0.0512266140,-0.0512266140,strong,2.0000000000,0.0000000000,True,0.0544218536,1.0000000000,True
a292_s2p0_strong_r04,-0.1675407136,-0.1675407136,strong,2.0000000000,0.0000000000,True,0.0583557351,1.0000000000,True
a292_s2p0_weak_r00,-0.0420641496,-0.0420641496,weak,2.0000000000,1.0000000000,False,0.3391561263,1.0000000000,True
a292_s2p0_weak_r01,-0.0821485764,0.0000000000,weak,2.0000000000,1.0000000000,False,0.5001497631,0.8571428571,False
a292_s2p0_weak_r02,-0.3158734305,-0.3158734305,weak,2.0000000000,1.0000000000,False,0.4252730838,1.0000000000,True
a292_s2p0_weak_r03,0.4584194576,0.4584194576,weak,2.0000000000,1.0000000000,False,0.4899605323,1.0000000000,True
a292_s2p0_weak_r04,-0.2059551376,0.0000000000,weak,2.0000000000,1.4000000000,False,0.9172942302,1.0000000000,False
a292_s4p0_reference_r00,-0.3470781146,-0.3470781146,reference,4.0000000000,0.0000000000,True,0.1183933756,1.0000000000,True
a292_s4p0_reference_r01,-0.5039930641,-0.5039930641,reference,4.0000000000,0.0000000000,True,0.2310028318,0.8571428571,True
a292_s4p0_reference_r02,-0.3474603983,-0.3474603983,reference,4.0000000000,0.0000000000,True,0.0959251032,1.0000000000,True
a292_s4p0_reference_r03,-0.1158464151,-0.1158464151,reference,4.0000000000,0.0000000000,True,0.0757074734,1.0000000000,True
a292_s4p0_reference_r04,-0.5462529789,-0.5462529789,reference,4.0000000000,1.0000000000,False,0.0930344258,1.0000000000,True
a292_s4p0_strong_r00,-0.4282536832,-0.4282536832,strong,4.0000000000,0.0000000000,True,0.0621650138,1.0000000000,True
a292_s4p0_strong_r01,-0.3905074783,-0.3905074783,strong,4.0000000000,0.0000000000,True,0.0622967900,1.0000000000,True
a292_s4p0_strong_r02,-0.4075879078,-0.4075879078,strong,4.0000000000,0.0000000000,True,0.0751424006,1.0000000000,True
a292_s4p0_strong_r03,-0.3381224072,-0.3381224072,strong,4.0000000000,0.0000000000,True,0.0686479005,1.0000000000,True
a292_s4p0_strong_r04,0.0000000000,0.0000000000,strong,4.0000000000,1.0000000000,False,0.5641389724,0.4285714286,False
a292_s4p0_weak_r00,-0.2308678313,0.0000000000,weak,4.0000000000,1.0000000000,False,0.5914534047,1.0000000000,False
a292_s4p0_weak_r01,0.5020400345,0.0000000000,weak,4.0000000000,1.0000000000,False,0.6416490032,0.5714285714,False
a292_s4p0_weak_r02,-0.0665064953,0.0000000000,weak,4.0000000000,0.4000000000,True,0.5730107179,1.0000000000,False
a292_s4p0_weak_r03,-0.0335862766,-0.0335862766,weak,4.0000000000,0.0000000000,True,0.4348611103,1.0000000000,True
a292_s4p0_weak_r04,0.1234758336,0.1234758336,weak,4.0000000000,0.0000000000,True,0.2699464952,1.0000000000,True
a337_s0p75_reference_r00,-0.4768996723,-0.4768996723,reference,0.7500000000,1.0000000000,False,0.2920278958,0.8571428571,True
a337_s0p75_reference_r01,-0.2155650206,-0.2155650206,reference,0.7500000000,0.0000000000,True,0.0795285084,1.0000000000,True
a337_s0p75_reference_r02,-0.2173531873,-0.2173531873,reference,0.7500000000,0.0000000000,True,0.0720994601,1.0000000000,True
a337_s0p75_reference_r03,-0.1529636810,-0.1529636810,reference,0.7500000000,0.0000000000,True,0.1370592822,1.0000000000,True
a337_s0p75_reference_r04,-0.1752389589,-0.1752389589,reference,0.7500000000,0.0000000000,True,0.1182992644,1.0000000000,True
a337_s0p75_strong_r00,-0.3284062051,-0.3284062051,strong,0.7500000000,0.0000000000,True,0.0566565701,1.0000000000,True
a337_s0p75_strong_r01,-0.1283540376,-0.1283540376,strong,0.7500000000,0.0000000000,True,0.0863860078,1.0000000000,True
a337_s0p75_strong_r02,-0.2774307503,-0.2774307503,strong,0.7500000000,0.0000000000,True,0.0484392617,1.0000000000,True
a337_s0p75_strong_r03,-0.5002540602,-0.5002540602,strong,0.7500000000,0.0000000000,True,0.2244916071,0.8571428571,True
a337_s0p75_strong_r04,-0.3656293580,-0.3656293580,strong,0.7500000000,0.0000000000,True,0.0656887064,1.0000000000,True
a337_s0p75_weak_r00,0.1732825136,0.1732825136,weak,0.7500000000,0.0000000000,True,0.2867569366,0.8571428571,True
a337_s0p75_weak_r01,0.1151938045,0.1151938045,weak,0.7500000000,0.4000000000,True,0.4627237455,1.0000000000,True
a337_s0p75_weak_r02,0.1951652381,0.1951652381,weak,0.7500000000,1.0000000000,False,0.4787212365,0.8571428571,True
a337_s0p75_weak_r03,-0.4962506033,0.0000000000,weak,0.7500000000,1.0000000000,False,0.6822485144,1.0000000000,False
a337_s0p75_weak_r04,0.1194833003,0.1194833003,weak,0.7500000000,1.0000000000,False,0.4510950927,0.8571428571,True
a337_s2p0_reference_r00,-0.3944879031,-0.3944879031,reference,2.0000000000,0.0000000000,True,0.0736196140,1.0000000000,True
a337_s2p0_reference_r01,0.1000028957,0.1000028957,reference,2.0000000000,0.4000000000,True,0.0958004637,1.0000000000,True
a337_s2p0_reference_r02,-0.1429374516,-0.1429374516,reference,2.0000000000,0.0000000000,True,0.1069705622,1.0000000000,True
a337_s2p0_reference_r03,-0.1729064400,-0.1729064400,reference,2.0000000000,0.0000000000,True,0.0664997106,1.0000000000,True
a337_s2p0_reference_r04,0.1041582331,0.1041582331,reference,2.0000000000,0.0000000000,True,0.1088379746,1.0000000000,True
a337_s2p0_strong_r00,-0.1088753760,-0.1088753760,strong,2.0000000000,0.0000000000,True,0.0732672869,1.0000000000,True
a337_s2p0_strong_r01,-0.2363994805,-0.2363994805,strong,2.0000000000,0.0000000000,True,0.0567942154,1.0000000000,True
a337_s2p0_strong_r02,-0.2349417402,-0.2349417402,strong,2.0000000000,0.0000000000,True,0.0564781382,1.0000000000,True
a337_s2p0_strong_r03,-0.1374834230,-0.1374834230,strong,2.0000000000,0.0000000000,True,0.0439868604,1.0000000000,True
a337_s2p0_strong_r04,-0.2396486400,-0.2396486400,strong,2.0000000000,0.0000000000,True,0.0581560392,1.0000000000,True
a337_s2p0_weak_r00,-0.3926606401,0.0000000000,weak,2.0000000000,1.0000000000,False,0.4417243037,0.7142857143,False
a337_s2p0_weak_r01,-0.1625787259,-0.1625787259,weak,2.0000000000,1.0000000000,False,0.3695589885,1.0000000000,True
a337_s2p0_weak_r02,-0.0034882454,0.0000000000,weak,2.0000000000,1.0000000000,False,0.5002201487,1.0000000000,False
a337_s2p0_weak_r03,0.0072675833,0.0000000000,weak,2.0000000000,1.0000000000,False,0.6253778970,0.8571428571,False
a337_s2p0_weak_r04,0.3961294304,0.0000000000,weak,2.0000000000,9.0000000000,False,8.8393193555,0.8571428571,False
a337_s4p0_reference_r00,-0.4836516856,-0.4836516856,reference,4.0000000000,0.4000000000,True,0.1274250311,1.0000000000,True
a337_s4p0_reference_r01,-0.1343601503,-0.1343601503,reference,4.0000000000,0.0000000000,True,0.1114065979,1.0000000000,True
a337_s4p0_reference_r02,-0.3420330948,-0.3420330948,reference,4.0000000000,0.0000000000,True,0.0810018061,1.0000000000,True
a337_s4p0_reference_r03,-0.3665814978,-0.3665814978,reference,4.0000000000,0.0000000000,True,0.1043597047,1.0000000000,True
a337_s4p0_reference_r04,-0.1953784917,-0.1953784917,reference,4.0000000000,0.0000000000,True,0.2574306940,0.8571428571,True
a337_s4p0_strong_r00,-0.3556833830,-0.3556833830,strong,4.0000000000,0.0000000000,True,0.0721514035,1.0000000000,True
a337_s4p0_strong_r01,0.0000000000,0.0000000000,strong,4.0000000000,1.0000000000,False,0.7481674965,0.4285714286,False
a337_s4p0_strong_r02,-0.5533163732,-0.5533163732,strong,4.0000000000,1.0000000000,False,0.2686925015,0.8571428571,True
a337_s4p0_strong_r03,-0.4172091782,-0.4172091782,strong,4.0000000000,0.0000000000,True,0.0538568756,1.0000000000,True
a337_s4p0_strong_r04,-0.5993137769,-0.5993137769,strong,4.0000000000,1.0000000000,False,0.2694848150,0.8571428571,True
a337_s4p0_weak_r00,-0.4799506030,-0.4799506030,weak,4.0000000000,1.0000000000,False,0.4294471201,1.0000000000,True
a337_s4p0_weak_r01,-0.1309343887,0.0000000000,weak,4.0000000000,1.0000000000,False,0.5941652525,0.8571428571,False
a337_s4p0_weak_r02,-0.1635220569,-0.1635220569,weak,4.0000000000,1.0000000000,False,0.3801051389,1.0000000000,True
a337_s4p0_weak_r03,0.1886853754,0.1886853754,weak,4.0000000000,0.0000000000,True,0.4390913172,0.8571428571,True
a337_s4p0_weak_r04,-0.5510793570,0.0000000000,weak,4.0000000000,1.0000000000,False,0.6263249066,0.8571428571,False
